Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
12/27/2024,,,,,,0,0,0
12/26/2024,,,,,,0,0,0
12/25/2024,,,,,,0,0,0
12/24/2024,,,,,,0,0,0
12/23/2024,,,,,,0,0,0
12/20/2024,,,,,,0,0,0
12/19/2024,,,,,,0,0,0
12/18/2024,,,,,,0,0,0
12/17/2024,,,,,,0,0,0
12/16/2024,,,,,,0,0,0
12/13/2024,,,,,,0,0,0
12/12/2024,,,,,,0,0,0
12/11/2024,,,,,,0,0,0
12/10/2024,,,,,,0,0,0
12/6/2024,,,,,,0,0,0
12/5/2024,,,,,,0,0,0
12/4/2024,,,,,,0,0,0
12/3/2024,,,,,,0,0,0
12/3/2024,,,,,,0,0,0
12/2/2024,,,,,,0,0,0
11/29/2024,,,,,,0,0,0
11/28/2024,,,,,,0,0,0
11/27/2024,,,,,,0,0,0
11/26/2024,,,,,,0,0,0
11/25/2024,,,,,,0,0,0
11/22/2024,,,,,,0,0,0
11/21/2024,,,,,,0,0,0
11/20/2024,,,,,,0,0,0
11/19/2024,,,,,,0,0,0
11/18/2024,,,,,,0,0,0
11/15/2024,,,,,,0,0,0
11/14/2024,,,,,,0,0,0
11/13/2024,,,,,,0,0,0
11/12/2024,,,,,,0,0,0
11/11/2024,,,,,,0,0,3.075.000
11/8/2024,,,,,,0,0,0
11/7/2024,,,,,,0,0,0
11/6/2024,,,,,,0,0,0
11/5/2024,,,,,,0,0,0
